,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.8062599897384644,0.9275199770927428,0.9513800144195556,0.8062600000000001,0.8086553996793513,0.8032918542986199
2,2Gamma 1/2,0.7936400175094604,0.9198600053787231,0.9459000229835509,0.79364,0.7978780327877916,0.7906837429024121
3,3Gamma 1/4,0.7446799874305725,0.885699987411499,0.9194999933242798,0.74468,0.7598473864959515,0.7429513564435837
4,4Gamma 1/8,0.6123999953269958,0.7772399783134459,0.8281400203704834,0.6124,0.6852754886030161,0.6197739838247018
5,5Gamma 2,0.7868199944496155,0.9138399958610536,0.9410200119018556,0.78682,0.7900347502174369,0.7838016270360377
6,6Gamma 4,0.6911399960517883,0.8418599963188171,0.8817999958992004,0.69114,0.7068186782099283,0.6900129950091679
7,7Gamma 8,0.4666799902915954,0.6237999796867371,0.6812400221824646,0.46668000000000004,0.5514977731187044,0.4799477838950749
11,8Saturate_p25,0.7850000262260437,0.9138000011444092,0.940400004386902,0.785,0.7878845914708642,0.7817251482849379
13,9Underexpose_p25,0.7769799828529358,0.908900022506714,0.9357600212097168,0.77698,0.7799939431954361,0.7739262146963578
1,Compression,0.7475399971008301,0.8885800242424011,0.920360028743744,0.74754,0.7582855895675247,0.7438857028740309
8,Gaussian,0.7647200226783752,0.8998000025749207,0.9297000169754028,0.76472,0.7698278745253303,0.7608735277771761
9,Poisson,0.7955399751663208,0.920960009098053,0.9460999965667723,0.7955399999999999,0.7989831784459939,0.7922294667983296
10,Salt and Pep.,0.5273200273513794,0.6916999816894531,0.7464200258255005,0.52732,0.6049450420354747,0.5309613184741817
12,Speckle,0.4227400124073029,0.5795400142669678,0.6375200152397156,0.42273999999999995,0.5318359804017014,0.4340354854786235
