,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.6930400133132935,0.847000002861023,0.8884000182151794,0.69304,0.6973776342371665,0.6888349371128755
2,2Gamma 1/2,0.6631399989128113,0.8229600191116333,0.867680013179779,0.66314,0.678231560748342,0.6610384159659751
3,3Gamma 1/4,0.5505599975585938,0.7227399945259094,0.7798799872398376,0.55056,0.6153987927067986,0.5579045197619441
4,4Gamma 1/8,0.324180006980896,0.4757800102233887,0.5422599911689758,0.32418,0.5316885459253322,0.34929359617663164
5,5Gamma 2,0.6517999768257141,0.8133400082588196,0.8582999706268309,0.6518,0.6612367637287229,0.6486861992054077
6,6Gamma 4,0.4858599901199341,0.6541799902915955,0.7156599760055542,0.48586,0.5368640314108823,0.4912215336517307
7,7Gamma 8,0.2391200065612793,0.3591200113296509,0.4163599908351898,0.23911999999999997,0.3848362500284852,0.2569372799412375
11,8Saturate_p25,0.6589599847793579,0.8163400292396545,0.8628399968147278,0.65896,0.6662830093660624,0.6551849251549312
13,9Underexpose_p25,0.6465200185775757,0.8103600144386292,0.8573799729347229,0.64652,0.6541364301049617,0.6426216289950428
1,Compression,0.6198400259017944,0.7867599725723267,0.8371400237083435,0.61984,0.6463258740227309,0.6177608302480347
8,Gaussian,0.6066399812698364,0.7730600237846375,0.825980007648468,0.60664,0.6247579514943374,0.6038082957148175
9,Poisson,0.6705399751663208,0.8276799917221069,0.8722199797630309,0.6705399999999999,0.6803017594005306,0.6666157297853942
10,Salt and Pep.,0.2429800033569336,0.3713000118732453,0.4304400086402893,0.24298000000000003,0.4178408386367848,0.2536328021390631
12,Speckle,0.16699999570846558,0.2638800144195557,0.3149999976158142,0.16699999999999998,0.35922149692667416,0.18290810476680264
