,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.6683200001716614,0.8256000280380249,0.870199978351593,0.66832,0.6815717382395174,0.6655206088985196
2,2Gamma 1/2,0.6338800191879272,0.7979199886322021,0.8482400178909302,0.63388,0.6569689620423317,0.6326810516152653
3,3Gamma 1/4,0.5013999938964844,0.6801599860191345,0.745199978351593,0.5014,0.5820837072379749,0.5087206769727237
4,4Gamma 1/8,0.2797800004482269,0.4320000112056732,0.5031599998474121,0.27978000000000003,0.4953196299205728,0.3018551186579141
5,5Gamma 2,0.6225200295448303,0.7877200245857239,0.8384600281715393,0.62252,0.6461454224548626,0.6214250041107872
6,6Gamma 4,0.4592399895191193,0.629360020160675,0.6934000253677368,0.45924,0.5361559378794857,0.4671667544193155
7,7Gamma 8,0.21690000593662265,0.3338800072669983,0.38967999815940857,0.2169,0.39099641884726616,0.2348302772413227
11,8Saturate_p25,0.6027799844741821,0.764739990234375,0.8161600232124329,0.60278,0.6296579205280117,0.6017704518327117
13,9Underexpose_p25,0.5932999849319458,0.7595800161361694,0.8136000037193298,0.5933,0.6223689747961911,0.5922770986060648
1,Compression,0.5678200125694275,0.7393400073051453,0.7950400114059448,0.56782,0.6087156675096508,0.5677196687019359
8,Gaussian,0.5339400172233582,0.7049599885940552,0.7653200030326843,0.53394,0.5814536620131023,0.5334052756764571
9,Poisson,0.626259982585907,0.7900000214576721,0.8414000272750854,0.62626,0.6483361445619782,0.623353536331226
10,Salt and Pep.,0.12574000656604767,0.21196000277996066,0.2596000134944916,0.12574000000000002,0.36425191182923816,0.1373607385478885
12,Speckle,0.06853999942541122,0.12151999771595,0.15554000437259674,0.06854,0.2792745476641024,0.07835183225744734
