,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.612060010433197,0.7847200036048889,0.8378000259399414,0.61206,0.6255166639873645,0.6088807279178825
2,2Gamma 1/2,0.5835400223731995,0.759660005569458,0.8174999952316284,0.58354,0.6081027857399809,0.5824753787387419
3,3Gamma 1/4,0.4547800123691559,0.637440025806427,0.7074400186538696,0.45478,0.5434556121901872,0.464340012209028
4,4Gamma 1/8,0.2361000031232834,0.3814199864864349,0.4517399966716766,0.2361,0.4567810899606605,0.2520633311789877
5,5Gamma 2,0.5662800073623657,0.741100013256073,0.8000800013542175,0.56628,0.5900779157374147,0.5640849501358216
6,6Gamma 4,0.4005799889564514,0.567359983921051,0.6354399919509888,0.40058,0.481784370236313,0.4081048051522784
7,7Gamma 8,0.17531999945640564,0.28011998534202576,0.3339599967002869,0.17532,0.3473856497289227,0.1920959208468326
11,8Saturate_p25,0.5480800271034241,0.7206599712371826,0.7800999879837036,0.54808,0.5712028503983092,0.5463919699515054
13,9Underexpose_p25,0.5414800047874451,0.7177600264549255,0.779699981212616,0.5414800000000001,0.5685839188082199,0.5394282361257942
1,Compression,0.5380200147628784,0.7126399874687195,0.7748000025749207,0.5380199999999999,0.5655210651648503,0.5350715006433441
8,Gaussian,0.5079200267791748,0.6800199747085571,0.7430400252342224,0.5079199999999999,0.54875196771819,0.5065093081616758
9,Poisson,0.5859000086784363,0.7611799836158752,0.8163800239562988,0.5859,0.6026992457930226,0.5824584136101032
10,Salt and Pep.,0.14270000159740448,0.23785999417304995,0.2900199890136719,0.1427,0.3599990075791292,0.15495777353217355
12,Speckle,0.08116000145673752,0.14406000077724454,0.1815000027418137,0.08116,0.291855564477681,0.08903003124912016
