,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.7630000114440918,0.899179995059967,0.9293400049209596,0.763,0.7660032506820912,0.7597505649052271
2,2Gamma 1/2,0.7458800077438354,0.885919988155365,0.9201800227165222,0.74588,0.7535911466557554,0.7434755299245461
3,3Gamma 1/4,0.6622599959373474,0.8225200176239014,0.869159996509552,0.6622600000000001,0.6995236683512939,0.665266146947229
4,4Gamma 1/8,0.4570600092411041,0.630079984664917,0.6952599883079529,0.45706,0.6159788336231928,0.4793463136311842
5,5Gamma 2,0.7339400053024292,0.8789600133895874,0.9148799777030944,0.7339399999999999,0.7395470668000974,0.7309364831108319
6,6Gamma 4,0.6115400195121765,0.7770199775695801,0.8281199932098389,0.61154,0.6397034265757081,0.6123797437851665
7,7Gamma 8,0.3701199889183045,0.5225200057029724,0.585640013217926,0.37012,0.4817974103058104,0.38631208010161294
11,8Saturate_p25,0.7342399954795837,0.8785399794578552,0.913699984550476,0.73424,0.7384616749076426,0.7308781185198242
13,9Underexpose_p25,0.7294600009918213,0.8743199706077576,0.9096999764442444,0.72946,0.7343162745593524,0.7263159594609874
1,Compression,0.688319981098175,0.8427799940109253,0.8835399746894836,0.6883199999999999,0.7064721904413469,0.6858892109465742
8,Gaussian,0.7005199790000916,0.8525400161743164,0.8928400278091431,0.70052,0.7101217442584448,0.6971431500463595
9,Poisson,0.7473199963569641,0.8859000205993652,0.9200000166893004,0.74732,0.7526217907967819,0.7436452005572128
10,Salt and Pep.,0.3820799887180328,0.5449600219726562,0.6104199886322021,0.38208000000000003,0.5154307870313951,0.3917126256116115
12,Speckle,0.2587200105190277,0.3914999961853027,0.4548799991607666,0.25872,0.431229121564338,0.27431687551613065
