,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.6632199883460999,0.8257799744606018,0.8702600002288818,0.66322,0.6916156275074027,0.663802498561551
2,2Gamma 1/2,0.6018999814987183,0.7755200266838074,0.829800009727478,0.6019,0.6635855130548053,0.6083238982785699
3,3Gamma 1/4,0.4446800053119659,0.6273000240325928,0.6962199807167053,0.44468,0.5985608574044928,0.4650989998119789
4,4Gamma 1/8,0.2221000045537949,0.3614400029182434,0.42917999625206,0.2221,0.4786089110500437,0.2427046137300609
5,5Gamma 2,0.6248999834060669,0.7908999919891357,0.8414599895477295,0.6249,0.654971365087215,0.6256407960947471
6,6Gamma 4,0.4577400088310242,0.6224200129508972,0.684719979763031,0.45774,0.5419770815809272,0.4681287924898864
7,7Gamma 8,0.2242199927568436,0.3421800136566162,0.39778000116348267,0.22421999999999997,0.3923688118383581,0.24221018967187535
11,8Saturate_p25,0.6423400044441223,0.8063399791717529,0.8536199927330017,0.6423399999999999,0.6678258543312607,0.6422123059412704
13,9Underexpose_p25,0.6424999833106995,0.8056399822235107,0.8539999723434448,0.6425,0.6633560256720223,0.6413351011060352
1,Compression,0.5877799987792969,0.7621999979019165,0.817520022392273,0.58778,0.6484873498633877,0.5924276135256809
8,Gaussian,0.5877000093460083,0.7599800229072571,0.8135600090026855,0.5877,0.6410172168600613,0.5922763750779214
9,Poisson,0.6510199904441833,0.8148199915885925,0.8622599840164185,0.6510199999999999,0.6841984002935032,0.6523589012129484
10,Salt and Pep.,0.19099999964237213,0.3120599985122681,0.372299998998642,0.191,0.4435835219520518,0.21303761215108574
12,Speckle,0.14494000375270846,0.2444799989461899,0.2994599938392639,0.14494,0.3924396033155951,0.16199944813866868
