,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.7732999920845032,0.9064400196075441,0.9355199933052064,0.7733,0.7764159080776007,0.7700811411051107
2,2Gamma 1/2,0.7549200057983398,0.8942599892616272,0.9259200096130372,0.75492,0.7620620497338768,0.7521611586594187
3,3Gamma 1/4,0.6831799745559692,0.8367800116539001,0.8788400292396545,0.68318,0.713047625108598,0.6846255453659951
4,4Gamma 1/8,0.5163599848747253,0.6832200288772583,0.7429999709129333,0.51636,0.6308358092818951,0.5334832819767812
5,5Gamma 2,0.7456799745559692,0.8864399790763855,0.9197199940681458,0.74568,0.7505281755931681,0.7424447165970088
6,6Gamma 4,0.6258599758148193,0.7873799800872803,0.8362399935722351,0.6258600000000001,0.6530170649839964,0.6262982981831062
7,7Gamma 8,0.3849399983882904,0.5356600284576416,0.5954800248146057,0.38494,0.495395019895801,0.4016862093229007
11,8Saturate_p25,0.7501199841499329,0.8890600204467773,0.9216399788856506,0.75012,0.7541313891774936,0.7467411136497961
13,9Underexpose_p25,0.7373600006103516,0.8818399906158447,0.9161199927330016,0.73736,0.7422915385008985,0.7340372766707824
1,Compression,0.7071999907493591,0.8573200106620789,0.894760012626648,0.7072,0.7242338285776941,0.7040825840251497
8,Gaussian,0.7161999940872192,0.8619199991226196,0.9001799821853638,0.7162,0.7278961508879694,0.7126002414909449
9,Poisson,0.7594000101089478,0.8956999778747559,0.9272999763488771,0.7594,0.7640724020110659,0.7556616206060507
10,Salt and Pep.,0.4053800106048584,0.5602200031280518,0.6231200098991394,0.40538,0.5452875014886075,0.4182030934386901
12,Speckle,0.31143999099731445,0.4546400010585785,0.5170199871063232,0.31144,0.4744035433604584,0.3291263907137127
