,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.746999979019165,0.8878999948501587,0.9199399948120116,0.747,0.7504400203591051,0.7438226220752063
2,2Gamma 1/2,0.7266600131988525,0.8716800212860107,0.9076799750328064,0.7266600000000001,0.736029915122605,0.7244279441458971
3,3Gamma 1/4,0.6447200179100037,0.8069999814033508,0.8543000221252441,0.64472,0.6827410979400981,0.6470306667913455
4,4Gamma 1/8,0.4685400128364563,0.6401799917221069,0.7026399970054626,0.46853999999999996,0.6075513912566696,0.486997325108014
5,5Gamma 2,0.7188799977302551,0.867579996585846,0.9052000045776368,0.71888,0.7248259522812293,0.7159423662321305
6,6Gamma 4,0.5907599925994873,0.7576599717140198,0.8089399933815002,0.5907600000000001,0.6217192218173007,0.5926324865594088
7,7Gamma 8,0.34248000383377075,0.491100013256073,0.5520200133323669,0.34248,0.4609037349698413,0.3605057684973306
11,8Saturate_p25,0.7210000157356262,0.8669199943542479,0.90311998128891,0.721,0.7262311739481025,0.717858758957427
13,9Underexpose_p25,0.7128000259399414,0.862280011177063,0.8998600244522095,0.7128,0.7172050967196605,0.7094469208585715
1,Compression,0.671019971370697,0.8292000293731691,0.8726599812507629,0.67102,0.6886068608912983,0.6684598216771585
8,Gaussian,0.6873400211334229,0.8412799835205078,0.8822399973869324,0.68734,0.6991230154488208,0.6844962058335461
9,Poisson,0.7321199774742126,0.8761399984359741,0.9114999771118164,0.73212,0.7379663262609018,0.7286637275716632
10,Salt and Pep.,0.3617599904537201,0.5211600065231323,0.5856800079345703,0.36175999999999997,0.4950998867620864,0.3735102253904688
12,Speckle,0.26146000623703003,0.3968600034713745,0.459199994802475,0.26145999999999997,0.3993992703222399,0.2720551619332893
