,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.6574199795722961,0.8183000087738037,0.8634200096130371,0.65742,0.662686131060952,0.6548812901014326
2,2Gamma 1/2,0.6232600212097168,0.7890599966049194,0.8403199911117554,0.62326,0.6434407726934066,0.623848633505445
3,3Gamma 1/4,0.5035799741744995,0.681439995765686,0.7462599873542786,0.50358,0.5872781908408472,0.5151842878341212
4,4Gamma 1/8,0.2852599918842316,0.4401400089263916,0.5131000280380249,0.28526,0.5141513444521826,0.3129951613595557
5,5Gamma 2,0.6142600178718567,0.782480001449585,0.8315799832344055,0.61426,0.6244391159985745,0.6124169414494043
6,6Gamma 4,0.45210000872612,0.6247000098228455,0.6863999962806702,0.4521,0.5110062004991418,0.4607423823585258
7,7Gamma 8,0.21780000627040866,0.3398599922657013,0.3962999880313873,0.2178,0.3749590584228687,0.2383059293642561
11,8Saturate_p25,0.6212199926376343,0.7897800207138062,0.8386200070381165,0.62122,0.628845066224827,0.6189264629357448
13,9Underexpose_p25,0.6120799779891968,0.7795000076293945,0.830780029296875,0.6120800000000001,0.6196516388256518,0.6095763205006751
1,Compression,0.5666199922561646,0.7422000169754028,0.7981799840927124,0.56662,0.6125725009755482,0.5678226070965859
8,Gaussian,0.5438200235366821,0.7182999849319458,0.7747799754142761,0.54382,0.5730477696662343,0.5436347724346516
9,Poisson,0.6274799704551697,0.7929400205612183,0.8426600098609924,0.62748,0.6385838978483928,0.6254897078545296
10,Salt and Pep.,0.1885800063610077,0.30399999022483826,0.3632600009441376,0.18858,0.3714668658654696,0.1962987096405412
12,Speckle,0.0928800031542778,0.16405999660491946,0.2053599953651428,0.09287999999999999,0.26050306469577256,0.1005259448806342
