,Distortion,Top-1,Top-3,Top-5,Recall,Prec.,F1-Score
0,1Original,0.6000599861145021,0.7740399837493896,0.8273599743843079,0.60006,0.6346236225646302,0.6028019232519457
2,2Gamma 1/2,0.4967800080776215,0.6844599843025208,0.7510799765586853,0.49678,0.5950661799745274,0.5107665976114067
3,3Gamma 1/4,0.29490000009536743,0.4599399864673615,0.5346599817276001,0.2949,0.5228314163090596,0.31562714491845595
4,4Gamma 1/8,0.1296599954366684,0.2301799952983856,0.2853200137615204,0.12966,0.35781398707340395,0.13941677053399645
5,5Gamma 2,0.5642600059509277,0.7391999959945679,0.7953000068664551,0.56426,0.5948723430487187,0.5656097973471688
6,6Gamma 4,0.3761000037193297,0.5393400192260742,0.605400025844574,0.3761,0.4706525084986176,0.3886810003135083
7,7Gamma 8,0.15724000334739685,0.2553800046443939,0.30546000599861145,0.15724000000000002,0.3363505425317347,0.17363933635214948
11,8Saturate_p25,0.5866199731826782,0.7617400288581848,0.8157200217247009,0.58662,0.6124233086396436,0.5878255458271956
13,9Underexpose_p25,0.5770800113677979,0.7496600151062012,0.8057600259780884,0.57708,0.5995019776012965,0.5765528258811657
1,Compression,0.4969600141048432,0.6791599988937378,0.7432000041007996,0.49696,0.5780840202858434,0.5041129078013754
8,Gaussian,0.43577998876571655,0.610319972038269,0.6774600148200989,0.43578,0.5244660229969551,0.4467405290865204
9,Poisson,0.5673199892044067,0.7427200078964233,0.8009799718856812,0.5673199999999999,0.6076892337209981,0.5706516070328392
10,Salt and Pep.,0.06995999813079834,0.1307400017976761,0.16791999340057373,0.06996000000000001,0.24231231259477706,0.07488037546793938
12,Speckle,0.0412600003182888,0.07906000316143036,0.10232000052928923,0.041260000000000005,0.1832292153610442,0.0454879551508466
